Year,Month,Data_value
2006,2,2225.4
2006,3,2492.7
2006,4,2410.3
2006,5,2408.3
2006,6,2345.3
2006,7,2413.2
2006,8,2386.1
2006,9,2428.6
2006,1,2586.9
2006,11,2691.2
2006,12,3478.4
2007,1,2620.9
2007,2,2474.2
2007,3,2757.3
2007,4,2617.1
2007,5,2614.9
2007,6,2570
2007,7,2601.8
2007,8,2627
2007,9,2631.4
2007,1,2754.8
2007,11,2902.8
2007,12,3674.2
2008,1,2775.6
2008,2,2690.7
2008,3,2832.8
2008,4,2693.7
2008,5,2762.8
2008,6,2532.7
2008,7,2673.2
2008,8,2709.5
2008,9,2657.5
2008,1,2898.9
2008,11,2980.5
2008,12,3796.5
2009,1,2943.8
2009,2,2685.3
2009,3,2923.9
2009,4,2853.4
2009,5,2908.4
2009,6,2677.5
2009,7,2857.2
2009,8,2823.3
2009,9,2799.4
2009,1,3028.5
2009,11,3044.1
2009,12,3919.2
2010,1,3003.6
2010,2,2748.2
2010,3,3049.9
2010,4,2904.8
2010,5,2942.2
2010,6,2787.4
2010,7,2974.8
2010,8,2857.8
2010,9,2934.6
2010,1,3152.6
2010,11,3217.1
2010,12,4130.8
2011,1,3155
2011,2,2875.3
2011,3,3200
2011,4,3165.1
2011,5,3093.1
2011,6,3013
2011,7,3201.8
2011,8,3067.1
2011,9,3124.8
2011,1,3358.3
2011,11,3373
2011,12,4350.5
2012,1,3284.8
2012,2,3125.2
2012,3,3405.3
2012,4,3214.4
2012,5,3265.2
2012,6,3185
2012,7,3219
2012,8,3238.3
2012,9,3210.5
2012,1,3405.7
2012,11,3566.8
2012,12,4502.6
2013,1,3453.6
2013,2,3175.2
2013,3,3509.3
2013,4,3365.9
2013,5,3432.6
2013,6,3294.5
2013,7,3367.1
2013,8,3420.6
2013,9,3291.7
2013,1,3624
2013,11,3780.9
2013,12,4685.2
2014,1,3623.4
2014,2,3331.4
2014,3,3678.4
2014,4,3534.9
2014,5,3670.6
2014,6,3402.9
2014,7,3559.7
2014,8,3572.2
2014,9,3474.3
2014,1,3840.1
2014,11,3947.6
2014,12,4939.6
2015,1,3912.8
2015,2,3572.9
2015,3,3903.7
2015,4,3762.6
2015,5,3855.2
2015,6,3611.9
2015,7,3796.1
2015,8,3776.9
2015,9,3742.2
2015,1,4140.4
2015,11,4184.4
2015,12,5300.1
2016,1,4136.4
2016,2,3948.4
2016,3,4191.4
2016,4,4098.7
2016,5,4034.4
2016,6,3917.4
2016,7,4110.2
2016,8,3944.9
2016,9,4027.3
2016,1,4357.1
2016,11,4415.8
2016,12,5613.9
2017,1,4424
2017,2,4085.1
2017,3,4490.6
2017,4,4362.7
2017,5,4324.2
2017,6,4198.4
2017,7,4323.3
2017,8,4241.6
2017,9,4273.2
2017,1,4581.7
2017,11,4791.3
2017,12,5969.6
2018,1,4625.5
2018,2,4285.4
2018,3,4840.8
2018,4,4445.5
2018,5,4511.8
2018,6,4402
2018,7,4457.8
2018,8,4488
2018,9,4504.7
2018,1,4822
